ordernumber,orderdate,year,month,month_name,country,territory,productline,dealsize,quantityordered,priceeach,sales,calc_sales,sales_valid
10153,2003-09-28,2003,9,Sep,Spain,Emea,Vintage Cars,Small,22,83.38,1834.36,1834.36,True
10153,2003-09-28,2003,9,Sep,Spain,Emea,Ships,Medium,50,88.15,4407.5,4407.5,True
10153,2003-09-28,2003,9,Sep,Spain,Emea,Ships,Small,43,64.67,2780.81,2780.81,True
10153,2003-09-28,2003,9,Sep,Spain,Emea,Ships,Medium,50,60.06,3003.0,3003.0,True
10153,2003-09-28,2003,9,Sep,Spain,Emea,Trains,Small,31,57.41,1779.71,1779.71,True
10153,2003-09-28,2003,9,Sep,Spain,Emea,Ships,Small,31,87.48,2711.88,2711.88,True
10154,2003-10-02,2003,10,Oct,Usa,Unknown,Vintage Cars,Small,31,91.17,2826.27,2826.27,True
10154,2003-10-02,2003,10,Oct,Usa,Unknown,Ships,Small,36,64.33,2315.88,2315.88,True
10300,2003-10-04,2003,10,Oct,Germany,Emea,Classic Cars,Small,31,58.78,1822.18,1822.18,True
10300,2003-10-04,2003,10,Oct,Germany,Emea,Classic Cars,Medium,49,78.8,3861.2,3861.2,True
10300,2003-10-04,2003,10,Oct,Germany,Emea,Classic Cars,Medium,41,92.4,3788.4,3788.4,True
10300,2003-10-04,2003,10,Oct,Germany,Emea,Classic Cars,Small,22,76.61,1685.42,1685.42,True
10301,2003-10-05,2003,10,Oct,Norway,Emea,Classic Cars,Small,22,96.37,2120.14,2120.14,True
10301,2003-10-05,2003,10,Oct,Norway,Emea,Classic Cars,Small,22,51.32,1129.04,1129.04,True
10301,2003-10-05,2003,10,Oct,Norway,Emea,Classic Cars,Small,48,34.36,1649.28,1649.28,True
10301,2003-10-05,2003,10,Oct,Norway,Emea,Classic Cars,Small,27,72.02,1944.54,1944.54,True
10155,2003-10-06,2003,10,Oct,Finland,Emea,Planes,Medium,44,85.87,3778.28,3778.28,True
10155,2003-10-06,2003,10,Oct,Finland,Emea,Ships,Medium,44,79.14,3482.16,3482.16,True
10155,2003-10-06,2003,10,Oct,Finland,Emea,Ships,Small,32,91.43,2925.76,2925.76,True
10155,2003-10-06,2003,10,Oct,Finland,Emea,Planes,Small,23,72.62,1670.26,1670.26,True
10302,2003-10-06,2003,10,Oct,Uk,Emea,Vintage Cars,Medium,38,89.27,3392.26,3392.26,True
10155,2003-10-06,2003,10,Oct,Finland,Emea,Planes,Medium,44,77.11,3392.84,3392.84,True
10302,2003-10-06,2003,10,Oct,Uk,Emea,Classic Cars,Small,23,72.7,1672.1,1672.1,True
10155,2003-10-06,2003,10,Oct,Finland,Emea,Vintage Cars,Small,37,67.93,2513.41,2513.41,True
10302,2003-10-06,2003,10,Oct,Uk,Emea,Classic Cars,Medium,48,74.48,3575.04,3575.04,True
10155,2003-10-06,2003,10,Oct,Finland,Emea,Planes,Small,34,49.16,1671.44,1671.44,True
10155,2003-10-06,2003,10,Oct,Finland,Emea,Planes,Medium,43,86.4,3715.2,3715.2,True
10155,2003-10-06,2003,10,Oct,Finland,Emea,Vintage Cars,Small,34,55.89,1900.26,1900.26,True
10156,2003-10-08,2003,10,Oct,Spain,Emea,Vintage Cars,Small,20,41.02,820.4,820.4000000000001,True
10159,2003-10-10,2003,10,Oct,Usa,Unknown,Classic Cars,Small,21,81.21,1705.41,1705.41,True
10159,2003-10-10,2003,10,Oct,Usa,Unknown,Motorcycles,Small,27,80.34,2169.18,2169.18,True
10159,2003-10-10,2003,10,Oct,Usa,Unknown,Classic Cars,Small,23,67.1,1543.3,1543.3,True
10159,2003-10-10,2003,10,Oct,Usa,Unknown,Motorcycles,Small,21,64.66,1357.86,1357.86,True
10159,2003-10-10,2003,10,Oct,Usa,Unknown,Motorcycles,Small,42,51.48,2162.16,2162.16,True
10158,2003-10-10,2003,10,Oct,Norway,Emea,Motorcycles,Small,22,67.03,1474.66,1474.66,True
10159,2003-10-10,2003,10,Oct,Usa,Unknown,Motorcycles,Small,31,71.6,2219.6,2219.6,True
10159,2003-10-10,2003,10,Oct,Usa,Unknown,Classic Cars,Medium,50,69.8,3490.0,3490.0,True
10159,2003-10-10,2003,10,Oct,Usa,Unknown,Classic Cars,Small,24,73.42,1762.08,1762.08,True
10159,2003-10-10,2003,10,Oct,Usa,Unknown,Motorcycles,Small,35,35.4,1239.0,1239.0,True
10160,2003-10-11,2003,10,Oct,Usa,Unknown,Classic Cars,Small,42,37.0,1554.0,1554.0,True
10160,2003-10-11,2003,10,Oct,Usa,Unknown,Classic Cars,Medium,38,88.55,3364.9,3364.9,True
10161,2003-10-17,2003,10,Oct,Denmark,Emea,Classic Cars,Small,25,80.54,2013.5,2013.5,True
10161,2003-10-17,2003,10,Oct,Denmark,Emea,Classic Cars,Small,37,72.76,2692.12,2692.12,True
10161,2003-10-17,2003,10,Oct,Denmark,Emea,Classic Cars,Small,20,77.05,1541.0,1541.0,True
10161,2003-10-17,2003,10,Oct,Denmark,Emea,Classic Cars,Small,23,53.33,1226.59,1226.59,True
10162,2003-10-18,2003,10,Oct,Usa,Unknown,Vintage Cars,Small,43,36.29,1560.47,1560.47,True
10162,2003-10-18,2003,10,Oct,Usa,Unknown,Vintage Cars,Small,27,69.62,1879.74,1879.74,True
10162,2003-10-18,2003,10,Oct,Usa,Unknown,Vintage Cars,Small,37,38.98,1442.26,1442.26,True
10162,2003-10-18,2003,10,Oct,Usa,Unknown,Vintage Cars,Medium,48,91.44,4389.12,4389.12,True
10162,2003-10-18,2003,10,Oct,Usa,Unknown,Vintage Cars,Small,37,27.22,1007.14,1007.14,True
10162,2003-10-18,2003,10,Oct,Usa,Unknown,Vintage Cars,Small,45,51.21,2304.45,2304.45,True
10163,2003-10-20,2003,10,Oct,Usa,Unknown,Vintage Cars,Medium,42,91.55,3845.1,3845.1,True
10163,2003-10-20,2003,10,Oct,Usa,Unknown,Vintage Cars,Medium,48,69.96,3358.08,3358.08,True
10164,2003-10-21,2003,10,Oct,Austria,Emea,Trucks And Buses,Medium,36,99.17,3570.12,3570.12,True
10164,2003-10-21,2003,10,Oct,Austria,Emea,Vintage Cars,Small,25,53.83,1345.75,1345.75,True
10164,2003-10-21,2003,10,Oct,Austria,Emea,Trucks And Buses,Small,49,54.94,2692.06,2692.06,True
10166,2003-10-21,2003,10,Oct,Usa,Unknown,Vintage Cars,Small,26,73.73,1916.98,1916.98,True
10164,2003-10-21,2003,10,Oct,Austria,Emea,Classic Cars,Medium,39,81.93,3195.27,3195.27,True
10165,2003-10-22,2003,10,Oct,Singapore,Japan,Classic Cars,Small,27,31.82,859.14,859.14,True
10165,2003-10-22,2003,10,Oct,Singapore,Japan,Trains,Small,38,66.78,2537.64,2537.64,True
10165,2003-10-22,2003,10,Oct,Singapore,Japan,Trucks And Buses,Small,31,71.1,2204.1,2204.1,True
10165,2003-10-22,2003,10,Oct,Singapore,Japan,Classic Cars,Small,24,99.36,2384.64,2384.64,True
10165,2003-10-22,2003,10,Oct,Singapore,Japan,Trucks And Buses,Small,48,45.99,2207.52,2207.52,True
10165,2003-10-22,2003,10,Oct,Singapore,Japan,Trains,Small,44,53.44,2351.36,2351.36,True
10165,2003-10-22,2003,10,Oct,Singapore,Japan,Classic Cars,Small,25,69.36,1734.0,1734.0,True
10165,2003-10-22,2003,10,Oct,Singapore,Japan,Trucks And Buses,Medium,48,94.92,4556.16,4556.16,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Motorcycles,Small,29,75.41,2186.89,2186.89,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Vintage Cars,Small,31,73.61,2281.91,2281.91,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Planes,Medium,48,78.25,3756.0,3756.0,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Planes,Medium,39,82.91,3233.49,3233.49,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Planes,Small,28,98.65,2762.2,2762.2,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Vintage Cars,Small,48,51.93,2492.64,2492.64,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Planes,Small,27,73.02,1971.54,1971.54,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Motorcycles,Small,46,61.18,2814.28,2814.28,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Planes,Small,21,70.96,1490.16,1490.16,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Planes,Medium,48,96.0,4608.0,4608.0,True
10168,2003-10-28,2003,10,Oct,Usa,Unknown,Motorcycles,Medium,36,96.66,3479.76,3479.76,True
10169,2003-11-04,2003,11,Nov,Australia,Apac,Motorcycles,Small,38,68.39,2598.82,2598.82,True
10169,2003-11-04,2003,11,Nov,Australia,Apac,Motorcycles,Medium,48,80.55,3866.4,3866.4,True
10170,2003-11-04,2003,11,Nov,Austria,Emea,Classic Cars,Small,20,63.14,1262.8,1262.8,True
10169,2003-11-04,2003,11,Nov,Australia,Apac,Motorcycles,Small,26,39.83,1035.58,1035.58,True
10169,2003-11-04,2003,11,Nov,Australia,Apac,Classic Cars,Small,34,50.21,1707.14,1707.14,True
10169,2003-11-04,2003,11,Nov,Australia,Apac,Classic Cars,Small,24,94.58,2269.92,2269.92,True
10169,2003-11-04,2003,11,Nov,Australia,Apac,Classic Cars,Small,36,63.84,2298.24,2298.24,True
10169,2003-11-04,2003,11,Nov,Australia,Apac,Motorcycles,Small,38,74.11,2816.18,2816.18,True
10169,2003-11-04,2003,11,Nov,Australia,Apac,Classic Cars,Small,32,70.76,2264.32,2264.32,True
10173,2003-11-05,2003,11,Nov,Italy,Emea,Vintage Cars,Small,26,57.51,1495.26,1495.26,True
10173,2003-11-05,2003,11,Nov,Italy,Emea,Vintage Cars,Small,31,89.01,2759.31,2759.31,True
10172,2003-11-05,2003,11,Nov,Usa,Unknown,Classic Cars,Small,22,74.51,1639.22,1639.22,True
10173,2003-11-05,2003,11,Nov,Italy,Emea,Vintage Cars,Small,35,33.23,1163.05,1163.05,True
10173,2003-11-05,2003,11,Nov,Italy,Emea,Classic Cars,Small,39,71.98,2807.22,2807.22,True
10172,2003-11-05,2003,11,Nov,Usa,Unknown,Classic Cars,Small,32,75.69,2422.08,2422.08,True
10173,2003-11-05,2003,11,Nov,Italy,Emea,Vintage Cars,Small,21,75.46,1584.66,1584.66,True
10173,2003-11-05,2003,11,Nov,Italy,Emea,Vintage Cars,Small,27,41.22,1112.94,1112.94,True
10173,2003-11-05,2003,11,Nov,Italy,Emea,Vintage Cars,Small,48,44.21,2122.08,2122.08,True
10173,2003-11-05,2003,11,Nov,Italy,Emea,Vintage Cars,Small,31,31.53,977.43,977.43,True
10172,2003-11-05,2003,11,Nov,Usa,Unknown,Classic Cars,Small,22,98.51,2167.22,2167.22,True
10171,2003-11-05,2003,11,Nov,Canada,Unknown,Classic Cars,Small,36,35.49,1277.64,1277.64,True
10173,2003-11-05,2003,11,Nov,Italy,Emea,Vintage Cars,Small,29,95.24,2761.96,2761.96,True
10172,2003-11-05,2003,11,Nov,Usa,Unknown,Classic Cars,Small,24,81.33,1951.92,1951.92,True
10173,2003-11-05,2003,11,Nov,Italy,Emea,Vintage Cars,Small,28,53.72,1504.16,1504.16,True
10172,2003-11-05,2003,11,Nov,Usa,Unknown,Classic Cars,Small,34,42.76,1453.84,1453.84,True
10175,2003-11-06,2003,11,Nov,Uk,Emea,Trucks And Buses,Medium,50,63.31,3165.5,3165.5,True
10174,2003-11-06,2003,11,Nov,Australia,Apac,Vintage Cars,Small,49,44.78,2194.22,2194.22,True
10175,2003-11-06,2003,11,Nov,Uk,Emea,Trucks And Buses,Small,29,74.98,2174.42,2174.42,True
10175,2003-11-06,2003,11,Nov,Uk,Emea,Classic Cars,Medium,42,85.98,3611.16,3611.16,True
10176,2003-11-06,2003,11,Nov,Italy,Emea,Classic Cars,Small,27,68.78,1857.06,1857.06,True
10176,2003-11-06,2003,11,Nov,Italy,Emea,Trains,Small,38,64.44,2448.72,2448.72,True
10176,2003-11-06,2003,11,Nov,Italy,Emea,Trains,Small,22,64.0,1408.0,1408.0,True
10174,2003-11-06,2003,11,Nov,Australia,Apac,Trucks And Buses,Medium,48,93.34,4480.32,4480.32,True
10175,2003-11-06,2003,11,Nov,Uk,Emea,Trucks And Buses,Small,41,69.28,2840.48,2840.48,True
10175,2003-11-06,2003,11,Nov,Uk,Emea,Classic Cars,Small,37,31.12,1151.44,1151.44,True
10177,2003-11-07,2003,11,Nov,Spain,Emea,Vintage Cars,Medium,45,72.58,3266.1,3266.1,True
10177,2003-11-07,2003,11,Nov,Spain,Emea,Ships,Small,24,76.0,1824.0,1824.0,True
10177,2003-11-07,2003,11,Nov,Spain,Emea,Vintage Cars,Small,35,74.6,2611.0,2611.0,True
10177,2003-11-07,2003,11,Nov,Spain,Emea,Ships,Medium,44,92.16,4055.04,4055.04,True
10177,2003-11-07,2003,11,Nov,Spain,Emea,Ships,Small,31,88.34,2738.54,2738.54,True
10177,2003-11-07,2003,11,Nov,Spain,Emea,Ships,Small,32,76.62,2451.84,2451.84,True
10177,2003-11-07,2003,11,Nov,Spain,Emea,Ships,Small,40,50.23,2009.2,2009.2,True
10178,2003-11-08,2003,11,Nov,France,Emea,Vintage Cars,Small,27,73.64,1988.28,1988.28,True
10178,2003-11-08,2003,11,Nov,France,Emea,Planes,Small,34,80.84,2748.56,2748.56,True
10178,2003-11-08,2003,11,Nov,France,Emea,Planes,Small,30,72.33,2169.9,2169.9,True
10178,2003-11-08,2003,11,Nov,France,Emea,Planes,Medium,45,76.25,3431.25,3431.25,True
10178,2003-11-08,2003,11,Nov,France,Emea,Vintage Cars,Small,21,72.12,1514.52,1514.52,True
10178,2003-11-08,2003,11,Nov,France,Emea,Ships,Medium,41,81.72,3350.52,3350.52,True
10178,2003-11-08,2003,11,Nov,France,Emea,Planes,Small,45,51.15,2301.75,2301.75,True
10178,2003-11-08,2003,11,Nov,France,Emea,Planes,Small,22,87.75,1930.5,1930.5,True
10178,2003-11-08,2003,11,Nov,France,Emea,Ships,Medium,34,96.86,3293.24,3293.24,True
10180,2003-11-11,2003,11,Nov,France,Emea,Motorcycles,Small,35,72.03,2521.05,2521.05,True
10180,2003-11-11,2003,11,Nov,France,Emea,Motorcycles,Small,21,93.56,1964.76,1964.76,True
10180,2003-11-11,2003,11,Nov,France,Emea,Classic Cars,Small,28,71.14,1991.92,1991.92,True
10180,2003-11-11,2003,11,Nov,France,Emea,Motorcycles,Small,29,86.13,2497.77,2497.77,True
10180,2003-11-11,2003,11,Nov,France,Emea,Motorcycles,Small,25,64.2,1605.0,1605.0,True
10180,2003-11-11,2003,11,Nov,France,Emea,Motorcycles,Small,34,45.46,1545.64,1545.64,True
10180,2003-11-11,2003,11,Nov,France,Emea,Motorcycles,Small,21,50.36,1057.56,1057.56,True
10180,2003-11-11,2003,11,Nov,France,Emea,Motorcycles,Small,28,68.55,1919.4,1919.4,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Vintage Cars,Small,31,36.74,1138.94,1138.94,True
10181,2003-11-12,2003,11,Nov,Norway,Emea,Classic Cars,Small,30,82.82,2484.6,2484.6,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Vintage Cars,Small,33,86.31,2848.23,2848.23,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Classic Cars,Small,36,73.6,2649.6,2649.6,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Vintage Cars,Small,38,61.15,2323.7,2323.7,True
10181,2003-11-12,2003,11,Nov,Norway,Emea,Classic Cars,Small,37,42.67,1578.79,1578.79,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Classic Cars,Medium,44,69.84,3072.96,3072.96,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Vintage Cars,Small,23,42.26,971.98,971.98,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Classic Cars,Medium,47,74.22,3488.34,3488.34,True
10181,2003-11-12,2003,11,Nov,Norway,Emea,Classic Cars,Small,22,73.92,1626.24,1626.24,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Vintage Cars,Small,25,87.33,2183.25,2183.25,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Classic Cars,Medium,33,94.17,3107.61,3107.61,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Vintage Cars,Small,39,36.84,1436.76,1436.76,True
10181,2003-11-12,2003,11,Nov,Norway,Emea,Classic Cars,Small,23,65.52,1506.96,1506.96,True
10182,2003-11-12,2003,11,Nov,Usa,Unknown,Vintage Cars,Small,32,54.45,1742.4,1742.4,True
10181,2003-11-12,2003,11,Nov,Norway,Emea,Classic Cars,Small,20,81.4,1628.0,1628.0,True
10181,2003-11-12,2003,11,Nov,Norway,Emea,Classic Cars,Small,34,53.83,1830.22,1830.22,True
10183,2003-11-13,2003,11,Nov,Usa,Unknown,Vintage Cars,Medium,37,89.15,3298.55,3298.55,True
10183,2003-11-13,2003,11,Nov,Usa,Unknown,Trucks And Buses,Small,21,96.84,2033.64,2033.64,True
10183,2003-11-13,2003,11,Nov,Usa,Unknown,Vintage Cars,Small,40,49.3,1972.0,1972.0,True
10183,2003-11-13,2003,11,Nov,Usa,Unknown,Vintage Cars,Small,39,68.08,2655.12,2655.12,True
10183,2003-11-13,2003,11,Nov,Usa,Unknown,Trucks And Buses,Medium,49,64.64,3167.36,3167.36,True
10183,2003-11-13,2003,11,Nov,Usa,Unknown,Classic Cars,Small,23,86.99,2000.77,2000.77,True
10184,2003-11-14,2003,11,Nov,Spain,Emea,Trucks And Buses,Small,44,60.16,2647.04,2647.04,True
10186,2003-11-14,2003,11,Nov,Uk,Emea,Planes,Small,28,52.14,1459.92,1459.92,True
10186,2003-11-14,2003,11,Nov,Uk,Emea,Ships,Small,32,89.46,2862.72,2862.72,True
10185,2003-11-14,2003,11,Nov,Usa,Unknown,Trains,Small,20,48.62,972.4,972.4,True
10185,2003-11-14,2003,11,Nov,Usa,Unknown,Ships,Small,22,79.45,1747.9,1747.9,True
10185,2003-11-14,2003,11,Nov,Usa,Unknown,Vintage Cars,Small,33,74.35,2453.55,2453.55,True
10184,2003-11-14,2003,11,Nov,Spain,Emea,Trains,Small,48,50.95,2445.6,2445.6,True
10184,2003-11-14,2003,11,Nov,Spain,Emea,Trucks And Buses,Small,33,62.77,2071.41,2071.41,True
10186,2003-11-14,2003,11,Nov,Uk,Emea,Planes,Small,22,69.2,1522.4,1522.4,True
10184,2003-11-14,2003,11,Nov,Spain,Emea,Classic Cars,Small,31,60.11,1863.41,1863.41,True
10186,2003-11-14,2003,11,Nov,Uk,Emea,Ships,Small,24,99.57,2389.68,2389.68,True
10186,2003-11-14,2003,11,Nov,Uk,Emea,Vintage Cars,Small,21,69.04,1449.84,1449.84,True
10185,2003-11-14,2003,11,Nov,Usa,Unknown,Ships,Small,28,64.43,1804.04,1804.04,True
10185,2003-11-14,2003,11,Nov,Usa,Unknown,Vintage Cars,Medium,47,77.24,3630.28,3630.28,True
10184,2003-11-14,2003,11,Nov,Spain,Emea,Classic Cars,Small,42,31.82,1336.44,1336.44,True
10186,2003-11-14,2003,11,Nov,Uk,Emea,Vintage Cars,Medium,36,85.54,3079.44,3079.44,True
10185,2003-11-14,2003,11,Nov,Usa,Unknown,Ships,Small,39,57.82,2254.98,2254.98,True
10185,2003-11-14,2003,11,Nov,Usa,Unknown,Ships,Small,30,94.4,2832.0,2832.0,True
10185,2003-11-14,2003,11,Nov,Usa,Unknown,Trains,Medium,49,80.67,3952.83,3952.83,True
10185,2003-11-14,2003,11,Nov,Usa,Unknown,Ships,Small,21,54.0,1134.0,1134.0,True
10188,2003-11-18,2003,11,Nov,Norway,Emea,Motorcycles,Small,32,65.42,2093.44,2093.44,True
10188,2003-11-18,2003,11,Nov,Norway,Emea,Motorcycles,Medium,44,98.89,4351.16,4351.16,True
10188,2003-11-18,2003,11,Nov,Norway,Emea,Motorcycles,Medium,38,96.34,3660.92,3660.92,True
10188,2003-11-18,2003,11,Nov,Norway,Emea,Motorcycles,Medium,40,91.4,3656.0,3656.0,True
10190,2003-11-19,2003,11,Nov,Spain,Emea,Motorcycles,Medium,42,76.19,3199.98,3199.98,True
10190,2003-11-19,2003,11,Nov,Spain,Emea,Motorcycles,Small,46,32.99,1517.54,1517.54,True
10190,2003-11-19,2003,11,Nov,Spain,Emea,Motorcycles,Medium,42,85.72,3600.24,3600.24,True
10190,2003-11-19,2003,11,Nov,Spain,Emea,Motorcycles,Small,40,66.72,2668.8,2668.8,True
10192,2003-11-20,2003,11,Nov,Usa,Unknown,Classic Cars,Small,37,69.82,2583.34,2583.34,True
10192,2003-11-20,2003,11,Nov,Usa,Unknown,Classic Cars,Small,30,30.59,917.7,917.7,True
10191,2003-11-20,2003,11,Nov,Germany,Emea,Classic Cars,Small,30,64.64,1939.2,1939.2,True
10192,2003-11-20,2003,11,Nov,Usa,Unknown,Classic Cars,Medium,46,83.6,3845.6,3845.6,True
10192,2003-11-20,2003,11,Nov,Usa,Unknown,Classic Cars,Medium,45,90.86,4088.7,4088.7,True
10191,2003-11-20,2003,11,Nov,Germany,Emea,Classic Cars,Small,44,66.29,2916.76,2916.76,True
10192,2003-11-20,2003,11,Nov,Usa,Unknown,Classic Cars,Small,47,53.83,2530.01,2530.01,True
10192,2003-11-20,2003,11,Nov,Usa,Unknown,Classic Cars,Small,32,72.77,2328.64,2328.64,True
10191,2003-11-20,2003,11,Nov,Germany,Emea,Classic Cars,Small,48,60.01,2880.48,2880.48,True
10191,2003-11-20,2003,11,Nov,Germany,Emea,Motorcycles,Medium,43,72.74,3127.82,3127.82,True
10191,2003-11-20,2003,11,Nov,Germany,Emea,Classic Cars,Medium,36,94.88,3415.68,3415.68,True
10193,2003-11-21,2003,11,Nov,Australia,Apac,Vintage Cars,Small,42,59.33,2491.86,2491.86,True
10193,2003-11-21,2003,11,Nov,Australia,Apac,Vintage Cars,Small,32,79.37,2539.84,2539.84,True
10193,2003-11-21,2003,11,Nov,Australia,Apac,Vintage Cars,Small,24,51.84,1244.16,1244.16,True
10193,2003-11-21,2003,11,Nov,Australia,Apac,Vintage Cars,Small,20,50.62,1012.4,1012.4,True
10193,2003-11-21,2003,11,Nov,Australia,Apac,Vintage Cars,Small,28,93.21,2609.88,2609.88,True
10193,2003-11-21,2003,11,Nov,Australia,Apac,Vintage Cars,Small,46,53.37,2455.02,2455.02,True
10193,2003-11-21,2003,11,Nov,Australia,Apac,Vintage Cars,Small,24,97.55,2341.2,2341.2,True
10193,2003-11-21,2003,11,Nov,Australia,Apac,Vintage Cars,Small,26,29.21,759.46,759.46,True
10193,2003-11-21,2003,11,Nov,Australia,Apac,Classic Cars,Small,25,76.26,1906.5,1906.5,True
10193,2003-11-21,2003,11,Nov,Australia,Apac,Vintage Cars,Small,22,41.03,902.66,902.66,True
10195,2003-11-25,2003,11,Nov,Usa,Unknown,Classic Cars,Small,32,28.29,905.28,905.28,True
10194,2003-11-25,2003,11,Nov,France,Emea,Trucks And Buses,Medium,45,70.49,3172.05,3172.05,True
10195,2003-11-25,2003,11,Nov,Usa,Unknown,Trucks And Buses,Small,32,43.29,1385.28,1385.28,True
10194,2003-11-25,2003,11,Nov,France,Emea,Classic Cars,Small,26,89.01,2314.26,2314.26,True
10194,2003-11-25,2003,11,Nov,France,Emea,Trucks And Buses,Small,39,54.94,2142.66,2142.66,True
10195,2003-11-25,2003,11,Nov,Usa,Unknown,Trains,Small,33,54.68,1804.44,1804.44,True
10195,2003-11-25,2003,11,Nov,Usa,Unknown,Classic Cars,Small,44,66.47,2924.68,2924.68,True
10194,2003-11-25,2003,11,Nov,France,Emea,Vintage Cars,Small,41,44.78,1835.98,1835.98,True
10194,2003-11-25,2003,11,Nov,France,Emea,Trucks And Buses,Small,21,93.34,1960.14,1960.14,True
10194,2003-11-25,2003,11,Nov,France,Emea,Trucks And Buses,Medium,37,97.27,3598.99,3598.99,True
10196,2003-11-26,2003,11,Nov,Usa,Unknown,Ships,Medium,50,94.4,4720.0,4720.0,True
10196,2003-11-26,2003,11,Nov,Usa,Unknown,Trains,Small,46,62.09,2856.14,2856.14,True
10197,2003-11-26,2003,11,Nov,Spain,Emea,Ships,Medium,46,87.74,4036.04,4036.04,True
10197,2003-11-26,2003,11,Nov,Spain,Emea,Ships,Small,23,64.67,1487.41,1487.41,True
10197,2003-11-26,2003,11,Nov,Spain,Emea,Ships,Medium,35,93.35,3267.25,3267.25,True
10197,2003-11-26,2003,11,Nov,Spain,Emea,Ships,Medium,50,78.79,3939.5,3939.500000000001,True
10197,2003-11-26,2003,11,Nov,Spain,Emea,Ships,Small,24,90.52,2172.48,2172.48,True
10197,2003-11-26,2003,11,Nov,Spain,Emea,Ships,Small,42,50.23,2109.66,2109.66,True
10197,2003-11-26,2003,11,Nov,Spain,Emea,Ships,Small,27,92.16,2488.32,2488.32,True
10197,2003-11-26,2003,11,Nov,Spain,Emea,Planes,Small,29,41.71,1209.59,1209.59,True
10197,2003-11-26,2003,11,Nov,Spain,Emea,Vintage Cars,Small,22,86.38,1900.36,1900.36,True
10197,2003-11-26,2003,11,Nov,Spain,Emea,Vintage Cars,Medium,47,83.2,3910.4,3910.4,True
10198,2003-11-27,2003,11,Nov,Philippines,Japan,Vintage Cars,Small,27,71.67,1935.09,1935.09,True
10198,2003-11-27,2003,11,Nov,Philippines,Japan,Planes,Medium,48,67.82,3255.36,3255.36,True
10198,2003-11-27,2003,11,Nov,Philippines,Japan,Planes,Small,43,66.19,2846.17,2846.17,True
10198,2003-11-27,2003,11,Nov,Philippines,Japan,Planes,Small,40,63.67,2546.8,2546.8,True
10199,2003-12-01,2003,12,Dec,Usa,Unknown,Planes,Medium,48,83.12,3989.76,3989.76,True
10201,2003-12-01,2003,12,Dec,Usa,Unknown,Motorcycles,Small,30,64.81,1944.3,1944.3,True
10199,2003-12-01,2003,12,Dec,Usa,Unknown,Vintage Cars,Small,29,38.4,1113.6,1113.6,True
10201,2003-12-01,2003,12,Dec,Usa,Unknown,Motorcycles,Small,22,98.57,2168.54,2168.54,True
10199,2003-12-01,2003,12,Dec,Usa,Unknown,Planes,Medium,38,82.4,3131.2,3131.2,True
10201,2003-12-01,2003,12,Dec,Usa,Unknown,Motorcycles,Small,25,73.88,1847.0,1847.0,True
10204,2003-12-02,2003,12,Dec,Usa,Unknown,Classic Cars,Medium,45,76.26,3431.7,3431.7,True
10203,2003-12-02,2003,12,Dec,Spain,Emea,Classic Cars,Small,21,37.0,777.0,777.0,True
10203,2003-12-02,2003,12,Dec,Spain,Emea,Classic Cars,Small,33,86.04,2839.32,2839.32,True
10203,2003-12-02,2003,12,Dec,Spain,Emea,Classic Cars,Medium,44,82.99,3651.56,3651.56,True
10204,2003-12-02,2003,12,Dec,Usa,Unknown,Classic Cars,Small,20,62.47,1249.4,1249.4,True
10204,2003-12-02,2003,12,Dec,Usa,Unknown,Vintage Cars,Small,23,71.44,1643.12,1643.12,True
10203,2003-12-02,2003,12,Dec,Spain,Emea,Classic Cars,Medium,45,85.47,3846.15,3846.15,True
10204,2003-12-02,2003,12,Dec,Usa,Unknown,Vintage Cars,Small,39,33.23,1295.97,1295.97,True
10204,2003-12-02,2003,12,Dec,Usa,Unknown,Classic Cars,Small,45,49.81,2241.45,2241.45,True
10204,2003-12-02,2003,12,Dec,Usa,Unknown,Vintage Cars,Small,29,85.59,2482.11,2482.11,True
10204,2003-12-02,2003,12,Dec,Usa,Unknown,Classic Cars,Medium,48,91.02,4368.96,4368.96,True
10204,2003-12-02,2003,12,Dec,Usa,Unknown,Classic Cars,Medium,47,96.32,4527.04,4527.04,True
10203,2003-12-02,2003,12,Dec,Spain,Emea,Classic Cars,Small,34,64.9,2206.6,2206.6,True
